ID,timestamp_in,timestamp_out,duration,direction
1,3363.44,3417.14,53.7,up
2,7407.17,7588.68,181.51,down
3,5493.26,5687.62,194.36,down
4,5523.03,5611.17,88.14,down
5,5897.37,5973.89,76.52,up
6,2665.48,2832.43,166.95,up
7,5663.88,5768.78,104.9,up
8,4143.31,4372.09,228.78,down
9,537.61,744.85,207.24,up
10,4355.83,4461.76,105.93,down
11,8817.32,9088.19,270.87,up
12,6859.9,6969.78,109.88,up
13,8842.22,9008.519999999999,166.3,up
14,1583.03,1720.44,137.41,up
15,29.43,207.69,178.26,down
16,3003.49,3283.6899999999996,280.2,down
17,2078.38,2374.6000000000004,296.22,up
18,3599.56,3872.2,272.64,up
